Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
108,19,4,60,0,Some Random Commen with Id 108
109,19,4,115,3,Some Random Commen with Id 109
110,19,4,21,4,Some Random Commen with Id 110
111,19,4,154,0,Some Random Commen with Id 111
112,19,4,21,0,Some Random Commen with Id 112
113,19,4,12,9,Some Random Commen with Id 113
114,19,4,10,9,Some Random Commen with Id 114
115,19,4,49,5,Some Random Commen with Id 115
116,20,3,165,2,Some Random Commen with Id 116
117,20,3,83,4,Some Random Commen with Id 117
118,20,3,66,5,Some Random Commen with Id 118
119,20,3,88,8,Some Random Commen with Id 119
120,20,3,153,5,Some Random Commen with Id 120
121,20,3,66,0,Some Random Commen with Id 121
122,20,3,4,9,Some Random Commen with Id 122
123,21,1,115,2,Some Random Commen with Id 123
124,21,1,164,6,Some Random Commen with Id 124
125,21,1,49,2,Some Random Commen with Id 125
126,22,2,114,9,Some Random Commen with Id 126
127,22,2,177,7,Some Random Commen with Id 127
128,22,2,27,7,Some Random Commen with Id 128
129,22,2,114,3,Some Random Commen with Id 129
130,22,2,158,6,Some Random Commen with Id 130
131,22,2,48,6,Some Random Commen with Id 131
132,22,2,33,6,Some Random Commen with Id 132
133,22,2,102,5,Some Random Commen with Id 133
134,22,2,146,1,Some Random Commen with Id 134
135,23,8,33,1,Some Random Commen with Id 135
136,23,8,122,7,Some Random Commen with Id 136
137,23,8,10,4,Some Random Commen with Id 137
138,23,8,29,1,Some Random Commen with Id 138
139,23,8,5,9,Some Random Commen with Id 139
140,23,8,7,5,Some Random Commen with Id 140
141,23,8,148,5,Some Random Commen with Id 141
142,23,8,190,8,Some Random Commen with Id 142
143,23,8,136,8,Some Random Commen with Id 143
144,24,4,136,1,Some Random Commen with Id 144
145,24,4,138,9,Some Random Commen with Id 145
146,24,4,120,6,Some Random Commen with Id 146
147,24,4,107,7,Some Random Commen with Id 147
148,24,4,74,9,Some Random Commen with Id 148
149,24,4,26,6,Some Random Commen with Id 149
150,25,9,48,8,Some Random Commen with Id 150
151,25,9,36,3,Some Random Commen with Id 151
152,26,6,67,6,Some Random Commen with Id 152
153,26,6,98,6,Some Random Commen with Id 153
154,26,6,62,6,Some Random Commen with Id 154
155,26,6,103,3,Some Random Commen with Id 155
156,26,6,36,7,Some Random Commen with Id 156
157,26,6,163,7,Some Random Commen with Id 157
158,26,6,80,2,Some Random Commen with Id 158
159,27,5,75,1,Some Random Commen with Id 159
160,27,5,65,6,Some Random Commen with Id 160
161,27,5,140,5,Some Random Commen with Id 161
162,27,5,19,4,Some Random Commen with Id 162
163,27,5,6,8,Some Random Commen with Id 163
164,27,5,61,5,Some Random Commen with Id 164
165,29,8,192,7,Some Random Commen with Id 165
166,29,8,57,8,Some Random Commen with Id 166
167,30,7,117,6,Some Random Commen with Id 167
168,30,7,123,2,Some Random Commen with Id 168
169,30,7,63,6,Some Random Commen with Id 169
170,31,5,127,3,Some Random Commen with Id 170
171,31,5,69,3,Some Random Commen with Id 171
172,31,5,70,0,Some Random Commen with Id 172
173,31,5,92,0,Some Random Commen with Id 173
174,31,5,68,5,Some Random Commen with Id 174
175,32,2,110,9,Some Random Commen with Id 175
176,32,2,3,6,Some Random Commen with Id 176
177,32,2,26,7,Some Random Commen with Id 177
178,32,2,134,9,Some Random Commen with Id 178
179,33,0,140,1,Some Random Commen with Id 179
180,33,0,127,6,Some Random Commen with Id 180
181,33,0,97,9,Some Random Commen with Id 181
182,33,0,72,5,Some Random Commen with Id 182
183,33,0,96,0,Some Random Commen with Id 183
184,34,7,108,9,Some Random Commen with Id 184
185,34,7,29,1,Some Random Commen with Id 185
186,34,7,39,5,Some Random Commen with Id 186
187,34,7,163,1,Some Random Commen with Id 187
188,34,7,110,7,Some Random Commen with Id 188
189,34,7,189,2,Some Random Commen with Id 189
190,35,6,154,2,Some Random Commen with Id 190
191,35,6,122,2,Some Random Commen with Id 191
192,35,6,163,7,Some Random Commen with Id 192
193,35,6,160,2,Some Random Commen with Id 193
194,35,6,151,4,Some Random Commen with Id 194
195,36,9,187,4,Some Random Commen with Id 195
196,36,9,144,3,Some Random Commen with Id 196
197,36,9,75,2,Some Random Commen with Id 197
198,37,8,42,3,Some Random Commen with Id 198
199,37,8,97,6,Some Random Commen with Id 199
200,37,8,10,3,Some Random Commen with Id 200
201,37,8,92,1,Some Random Commen with Id 201
202,37,8,32,4,Some Random Commen with Id 202
203,38,8,191,3,Some Random Commen with Id 203
204,38,8,104,4,Some Random Commen with Id 204
205,38,8,119,2,Some Random Commen with Id 205
206,38,8,140,0,Some Random Commen with Id 206
207,38,8,122,1,Some Random Commen with Id 207
208,38,8,1,6,Some Random Commen with Id 208
209,39,1,93,4,Some Random Commen with Id 209
